50
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 
0
18 59.0 x x x x 77.0 x x x 83.0 x 80.0 x x x x x x x x x x x x 100.0 x 94.0 x x x x x x x x x x x x x x x 76.0 x x x x 85.0 66.0 
59.0 11 80.0 x x x 94.0 77.0 x x x x 82.0 x x x x x 76.0 x x x x x x x x x x x x x x x x 92.0 x x x x x x x x x x x x x x 
x 80.0 12 52.0 x x x x x 98.0 x x x x x x x x x x x x x x x 84.0 x x x x x x x x x x x x x x x x x x 91.0 x x x x x 
x x 52.0 20 59.0 x x x x x x x x x x x x x x x x x x x x x x x x x x 91.0 x x x x x x x 88.0 x x x x x x 99.0 x x x 
x x x 59.0 15 65.0 x 80.0 x x x x x x x x x x x x x 82.0 x x x x 95.0 x x x 88.0 x x 91.0 x 95.0 x x x x x x x x x 92.0 83.0 x x x 
x x x x 65.0 20 65.0 x 78.0 x x x x x x x x x x x x x x 89.0 x x x x 99.0 x x x x x x x x x x x x x x x x x 82.0 76.0 x x 
77.0 94.0 x x x 65.0 17 68.0 x 92.0 x x x x x x x x x x 88.0 x x x x x x x x 88.0 x x x 95.0 x x x x x x x x 99.0 x x x x x x x 
x 77.0 x x 80.0 x 68.0 13 53.0 x x x x x x 98.0 x x x x x x x x x x x x x x 82.0 x x x x x 88.0 x 100.0 x x x x x x x x 96.0 x x 
x x x x x 78.0 x 53.0 10 68.0 x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x 97.0 x x x x x x x 98.0 x 
x x 98.0 x x x 92.0 x 68.0 13 70.0 78.0 x x x x x 91.0 x x 82.0 x x 91.0 x x x x x 85.0 97.0 x x x x 88.0 89.0 x x x x x x x x x x x x x 
83.0 x x x x x x x x 70.0 11 61.0 x x x x 95.0 x x x 87.0 x x x x x x x x 81.0 x x x x x 91.0 x x x x x x x x x x x 96.0 x x 
x x x x x x x x x 78.0 61.0 11 97.0 x x x x x 88.0 x 98.0 x x x x x x x x x x x x 95.0 x x 85.0 x x x x x x x x x x x x x 
80.0 82.0 x x x x x x x x x 97.0 16 64.0 95.0 x x 84.0 x x x x x 98.0 x x x x x x x x x x x x x x x x x x x x x 86.0 x x 94.0 x 
